timestamp,ir_raw,red_raw,hr,spo2,status
1781010607.3263483,178343,130950,60,87,LOW O2
1781010607.5178413,176990,130614,64,86,LOW O2
1781010607.7185578,177892,130886,61,87,LOW O2
1781010607.9192204,178834,131045,64,87,LOW O2
1781010608.119714,179150,131122,63,87,LOW O2
1781010608.3206017,178134,130918,62,87,LOW O2
1781010608.521285,178592,131025,62,88,LOW O2
1781010608.7218127,179264,131145,61,88,LOW O2
1781010608.9224522,178641,130989,62,92,LOW O2
1781010609.123025,178834,131045,61,97,NORMAL
1781010609.3177724,179150,131122,61,97,NORMAL
1781010609.518327,179221,131324,61,97,NORMAL
1781010609.7250295,179494,131342,63,97,NORMAL
1781010609.9256594,179264,131145,64,97,NORMAL
1781010610.1204147,178641,130989,64,97,NORMAL
1781010610.321002,179264,131269,64,97,NORMAL
1781010610.527661,179747,131357,66,97,NORMAL
1781010610.7282498,179722,131444,64,97,NORMAL
1781010610.922966,179494,131342,64,97,NORMAL
1781010611.1295664,179755,131447,56,97,LOW HR
1781010611.3302305,179103,131484,48,97,LOW HR
1781010611.5309124,179297,131524,54,96,LOW HR
1781010611.725744,179747,131357,54,96,LOW HR
1781010611.926211,179722,131444,54,96,LOW HR
1781010612.1330426,179211,131426,62,96,NORMAL
1781010612.3337386,179351,131347,63,96,NORMAL
1781010612.534785,179103,131484,63,96,NORMAL
1781010612.7492604,179297,131524,62,97,NORMAL
1781010612.954585,179302,131304,63,97,NORMAL
1781010613.1599214,178904,131390,56,97,LOW HR
1781010613.3519924,179211,131426,56,97,LOW HR
1781010613.5528018,179152,131310,56,97,LOW HR
1781010613.7671194,179396,131405,64,97,NORMAL
1781010613.97285,179060,131275,65,97,NORMAL
1781010614.1647997,179086,131254,65,97,NORMAL
1781010614.3656776,179446,131465,65,97,NORMAL
1781010614.5665681,178836,131165,65,97,NORMAL
1781010614.7676942,179152,131310,65,97,NORMAL
1781010614.9684741,179590,131405,65,97,NORMAL
1781010615.1694603,178551,131300,65,97,NORMAL
1781010615.3703043,178585,131338,65,97,NORMAL
1781010615.5712411,179446,131465,65,97,NORMAL
1781010615.7722988,179042,131328,65,97,NORMAL
1781010615.9733388,178549,131182,65,97,NORMAL
1781010616.174112,178985,131280,65,97,NORMAL
1781010616.3750696,178551,131300,65,97,NORMAL
1781010616.576025,178585,131338,65,97,NORMAL
