timestamp,ir_raw,red_raw,hr,spo2,status
1781010014.938901,161154,117590,61,89,LOW O2
1781010015.1303496,161935,117795,61,91,LOW O2
1781010015.33107,160883,117385,61,89,LOW O2
1781010015.5317714,161360,117514,61,87,LOW O2
1781010015.7322235,162376,117659,61,89,LOW O2
1781010015.9268982,162315,117546,61,89,LOW O2
1781010016.1334672,161452,117501,61,91,LOW O2
1781010016.3339348,161935,117795,62,88,LOW O2
1781010016.5350285,162127,117932,62,89,LOW O2
1781010016.735691,162863,117672,63,89,LOW O2
1781010016.9357471,163641,117832,65,90,LOW O2
1781010017.1370041,162315,117546,62,88,LOW O2
1781010017.3317235,162191,117442,62,88,LOW O2
1781010017.5380375,162837,117718,64,90,LOW O2
1781010017.7387292,162250,117195,66,91,LOW O2
1781010017.939571,162863,117672,64,92,LOW O2
1781010018.1401854,163641,117832,61,92,LOW O2
1781010018.34077,162668,117405,61,93,LOW O2
1781010018.5355048,162676,117418,61,93,LOW O2
1781010018.7421603,162837,117718,61,94,NORMAL
1781010018.942765,162250,117195,61,93,LOW O2
1781010019.1434858,162053,117256,64,93,LOW O2
1781010019.344071,161629,116800,67,92,LOW O2
1781010019.5387824,161139,116610,67,92,LOW O2
1781010019.7453315,162676,117418,69,92,LOW O2
1781010019.946547,162385,117484,69,92,LOW O2
1781010020.1605754,160834,116485,65,92,LOW O2
1781010020.3656595,162053,117113,61,92,LOW O2
1781010020.557693,161629,116800,61,92,LOW O2
1781010020.771603,160670,116472,65,91,LOW O2
1781010020.97693,160826,116576,65,90,LOW O2
1781010021.1827717,162385,117484,68,89,LOW O2
1781010021.3747964,160785,116506,68,89,LOW O2
1781010021.5757866,160720,116443,68,89,LOW O2
1781010021.7895362,160282,116208,67,90,LOW O2
1781010021.9946861,160779,116443,66,90,LOW O2
1781010022.1867213,160810,116410,66,90,LOW O2
1781010022.3877146,160743,116533,66,90,LOW O2
1781010022.6018345,160785,116506,66,91,LOW O2
1781010022.807023,161069,116586,66,90,LOW O2
1781010023.011928,160637,116378,65,90,LOW O2
1781010023.2169304,160779,116443,66,90,LOW O2
1781010023.4223022,160898,116498,64,90,LOW O2
1781010023.627972,160781,116215,62,89,LOW O2
1781010023.8332157,161003,116604,63,88,LOW O2
1781010024.0252373,160756,116362,63,88,LOW O2
1781010024.2389865,161116,116581,62,87,LOW O2
1781010024.4440324,160884,116471,60,87,LOW O2
1781010024.6490703,160615,116130,62,87,LOW O2
1781010024.8412776,160868,116375,62,87,LOW O2
1781010025.0549579,160704,116308,61,87,LOW O2
1781010025.2471352,160855,116309,61,87,LOW O2
1781010025.4615126,160981,116376,62,88,LOW O2
1781010025.6533988,160481,115919,62,88,LOW O2
1781010025.8540444,160615,116130,62,88,LOW O2
1781010026.0547256,161255,116426,62,88,LOW O2
1781010026.2692006,161346,116438,61,87,LOW O2
1781010026.4747748,160855,116309,64,86,LOW O2
1781010026.6803286,161258,116296,60,85,LOW O2
1781010026.8855736,161067,116255,63,85,LOW O2
1781010027.0907235,160615,116130,60,85,LOW O2
1781010027.295912,161179,116352,63,85,LOW O2
