timestamp,ir_raw,red_raw,hr,spo2,status
1781010419.9505935,178001,136968,60,87,LOW O2
1781010420.142366,178615,137433,60,86,LOW O2
1781010420.336816,177856,137081,60,86,LOW O2
1781010420.5435398,178852,137295,61,87,LOW O2
1781010420.744054,178747,137310,61,86,LOW O2
1781010420.9447432,178803,137296,61,87,LOW O2
1781010421.1395442,177875,136936,61,87,LOW O2
1781010421.3401299,177926,136985,61,87,LOW O2
1781010421.546648,179171,137373,62,87,LOW O2
1781010421.7473712,179291,137394,66,88,LOW O2
1781010421.9480162,178747,137310,66,92,LOW O2
1781010422.1486661,178803,137296,63,95,NORMAL
1781010422.3491993,178818,137111,65,96,NORMAL
1781010422.543819,178164,136866,65,96,NORMAL
1781010422.7504172,179171,137373,62,95,NORMAL
1781010422.9510798,179291,137394,60,95,NORMAL
1781010423.1519043,178559,136998,60,94,NORMAL
1781010423.3525028,177844,136655,61,95,NORMAL
1781010423.5471168,178677,136950,61,95,NORMAL
1781010423.7537682,178164,136866,62,94,NORMAL
1781010423.954468,178596,137008,62,95,NORMAL
1781010424.1552074,179855,137456,62,94,NORMAL
1781010424.3494933,179470,137294,62,94,NORMAL
1781010424.5501168,177844,136655,62,94,NORMAL
1781010424.7509863,178677,136950,62,94,NORMAL
1781010424.9516397,179149,137038,62,94,NORMAL
1781010425.1587315,178787,136820,62,94,NORMAL
1781010425.3598747,179855,137456,62,94,NORMAL
1781010425.5610797,179470,137294,62,94,NORMAL
1781010425.7756348,178621,136610,62,95,NORMAL
1781010425.981278,178875,136791,62,96,NORMAL
1781010426.1867933,179149,137038,64,96,NORMAL
1781010426.3786485,178564,136574,64,96,NORMAL
1781010426.579607,178840,136633,64,96,NORMAL
1781010426.7804983,178531,136681,64,96,NORMAL
1781010426.994391,178621,136610,57,96,LOW HR
1781010427.1993754,178603,136441,50,95,LOW HR
1781010427.391361,178814,136671,50,95,LOW HR
1781010427.5922499,178564,136574,50,95,LOW HR
1781010427.8063803,178020,136117,56,95,LOW HR
1781010427.9982884,178340,136189,56,95,LOW HR
1781010428.212601,177868,136269,61,95,NORMAL
1781010428.4044824,178603,136441,61,95,NORMAL
1781010428.605385,178457,136153,61,95,NORMAL
1781010428.8062816,178098,136112,61,95,NORMAL
1781010429.02082,178020,136117,61,96,NORMAL
1781010429.2129686,179027,136614,61,96,NORMAL
1781010429.4273129,178688,136640,56,96,LOW HR
1781010429.6192248,178657,136300,56,96,LOW HR
1781010429.8203106,178457,136153,56,96,LOW HR
1781010430.0211823,180746,137755,56,96,LOW HR
1781010430.2361119,181819,138415,62,96,NORMAL
1781010430.4278355,179027,136614,62,96,NORMAL
1781010430.6424766,178688,136640,63,96,NORMAL
1781010430.8482313,182635,139029,62,97,NORMAL
1781010431.0539901,180758,137378,63,96,NORMAL
1781010431.259508,181851,138670,64,96,NORMAL
1781010431.4514868,182745,139127,64,96,NORMAL
1781010431.6660888,180772,137599,66,96,NORMAL
1781010431.8719628,181151,138097,66,95,NORMAL
1781010432.0777483,180827,137730,66,94,NORMAL
1781010432.2835267,183380,139400,63,94,NORMAL
1781010432.4757812,181011,137757,63,94,NORMAL
1781010432.676431,180949,137623,63,94,NORMAL
1781010432.8912334,182055,138479,60,94,NORMAL
1781010433.097363,181151,138019,63,94,NORMAL
1781010433.3032835,180989,137490,65,94,NORMAL
1781010433.4956532,181804,138153,65,94,NORMAL
1781010433.7097027,181011,137757,64,94,NORMAL
1781010433.901656,180887,138007,64,94,NORMAL
1781010434.1026888,181461,137672,64,94,NORMAL
1781010434.3169124,181167,137622,63,93,LOW O2
1781010434.5229318,180039,137513,62,93,LOW O2
1781010434.7286947,180666,137759,63,92,LOW O2
1781010434.9345965,179629,137409,66,93,LOW O2
1781010435.1265159,179495,137230,66,93,LOW O2
1781010435.3414366,180107,137375,68,93,LOW O2
1781010435.533526,178666,137145,68,93,LOW O2
1781010435.748097,179447,137047,68,92,LOW O2
1781010435.9402602,180112,137281,68,92,LOW O2
1781010436.1410565,178499,137065,68,92,LOW O2
1781010436.3556783,179495,137230,67,92,LOW O2
1781010436.5477786,181022,137638,67,92,LOW O2
